Employee,Date,Weekday,Start,End,Lunch,Duration,Monthly Total Hours
Alice,2024-02-03,Saturday,11:00,21:00,16:00,9.0,95.0
Alice,2024-02-04,Sunday,13:00,18:00,None,5.0,
Alice,2024-02-11,Sunday,12:00,17:00,None,5.0,
Alice,2024-02-18,Sunday,12:00,17:00,None,5.0,
Alice,2024-02-22,Thursday,11:00,21:00,16:00,9.0,
Alice,2024-02-29,Thursday,11:00,21:00,16:00,9.0,
Alice,2024-02-09,Friday,10:00,20:00,15:00,9.0,
Alice,2024-02-17,Saturday,12:00,17:00,None,5.0,
Alice,2024-02-25,Sunday,10:00,20:00,15:00,9.0,
Alice,2024-02-10,Saturday,08:00,19:00,11:00,10.0,
Alice,2024-02-16,Friday,08:00,19:00,11:00,10.0,
Alice,2024-02-23,Friday,08:00,19:00,11:00,10.0,
Bob,2024-02-09,Friday,09:00,19:00,13:00,9.0,101.0
Bob,2024-02-15,Thursday,13:00,18:00,None,5.0,
Bob,2024-02-16,Friday,09:00,19:00,13:00,9.0,
Bob,2024-02-22,Thursday,13:00,18:00,None,5.0,
Bob,2024-02-23,Friday,09:00,19:00,13:00,9.0,
Bob,2024-02-25,Sunday,12:00,17:00,None,5.0,
Bob,2024-02-03,Saturday,09:00,19:00,13:00,9.0,
Bob,2024-02-11,Sunday,11:00,22:00,13:00,10.0,
Bob,2024-02-04,Sunday,10:00,21:00,12:00,10.0,
Bob,2024-02-10,Saturday,08:00,19:00,14:00,10.0,
Bob,2024-02-17,Saturday,08:00,19:00,14:00,10.0,
Bob,2024-02-24,Saturday,08:00,19:00,15:00,10.0,
Ceasar,2024-02-06,Tuesday,09:00,20:00,11:00,10.0,10.0
David,2024-02-27,Tuesday,11:00,16:00,None,5.0,80.0
David,2024-02-05,Monday,11:00,21:00,None,10.0,
David,2024-02-12,Monday,11:00,21:00,None,10.0,
David,2024-02-19,Monday,11:00,21:00,None,10.0,
David,2024-02-26,Monday,10:00,21:00,12:00,10.0,
David,2024-02-01,Thursday,08:00,19:00,11:00,10.0,
David,2024-02-07,Wednesday,08:00,19:00,11:00,10.0,
David,2024-02-13,Tuesday,08:00,17:00,11:00,8.0,
David,2024-02-20,Tuesday,8:00,16:00,11:00,7.0,
Eve,2024-02-02,Friday,13:00,18:00,None,5.0,54.0
Eve,2024-02-01,Thursday,09:00,19:00,13:00,9.0,
Eve,2024-02-06,Tuesday,08:00,19:00,16:00,10.0,
Eve,2024-02-13,Tuesday,08:00,19:00,14:00,10.0,
Eve,2024-02-20,Tuesday,08:00,19:00,15:00,10.0,
Eve,2024-02-27,Tuesday,08:00,19:00,16:00,10.0,
Frank,2024-02-03,Saturday,09:00,19:00,13:00,9.0,46.0
Frank,2024-02-08,Thursday,09:00,19:00,13:00,9.0,
Frank,2024-02-09,Friday,13:00,18:00,None,5.0,
Frank,2024-02-23,Friday,09:00,19:00,13:00,9.0,
Frank,2024-02-24,Saturday,13:00,18:00,None,5.0,
Frank,2024-02-29,Thursday,09:00,19:00,13:00,9.0,
Grace,2024-02-10,Saturday,11:00,21:00,16:00,9.0,100.0
Grace,2024-02-14,Wednesday,10:00,20:00,15:00,9.0,
Grace,2024-02-21,Wednesday,11:00,21:00,16:00,9.0,
Grace,2024-02-25,Sunday,13:00,18:00,None,5.0,
Grace,2024-02-26,Monday,13:00,18:00,None,5.0,
Grace,2024-02-28,Wednesday,11:00,21:00,16:00,9.0,
Grace,2024-02-12,Monday,12:00,17:00,None,5.0,
Grace,2024-02-15,Thursday,10:00,20:00,15:00,9.0,
Grace,2024-02-02,Friday,08:00,19:00,11:00,10.0,
Grace,2024-02-08,Thursday,08:00,19:00,11:00,10.0,
Grace,2024-02-22,Thursday,08:00,19:00,11:00,10.0,
Grace,2024-02-29,Thursday,08:00,19:00,11:00,10.0,
Hank,2024-02-01,Thursday,13:00,18:00,None,5.0,68.0
Hank,2024-02-07,Wednesday,13:00,18:00,None,5.0,
Hank,2024-02-13,Tuesday,13:00,18:00,None,5.0,
Hank,2024-02-14,Wednesday,09:00,19:00,13:00,9.0,
Hank,2024-02-20,Tuesday,13:00,18:00,None,5.0,
Hank,2024-02-27,Tuesday,09:00,19:00,13:00,9.0,
Hank,2024-02-08,Thursday,08:00,19:00,14:00,10.0,
Hank,2024-02-22,Thursday,09:00,20:00,15:00,10.0,
Hank,2024-02-28,Wednesday,08:00,19:00,14:00,10.0,
Ivy,2024-02-04,Sunday,10:00,20:00,15:00,9.0,111.0
Ivy,2024-02-08,Thursday,12:00,17:00,None,5.0,
Ivy,2024-02-10,Saturday,09:00,19:00,13:00,9.0,
Ivy,2024-02-23,Friday,10:00,20:00,15:00,9.0,
Ivy,2024-02-16,Friday,10:00,20:00,15:00,9.0,
Ivy,2024-02-11,Sunday,10:00,21:00,12:00,10.0,
Ivy,2024-02-18,Sunday,10:00,21:00,12:00,10.0,
Ivy,2024-02-03,Saturday,08:00,19:00,11:00,10.0,
Ivy,2024-02-09,Friday,08:00,19:00,11:00,10.0,
Ivy,2024-02-17,Saturday,08:00,19:00,13:00,10.0,
Ivy,2024-02-24,Saturday,08:00,19:00,11:00,10.0,
Ivy,2024-02-25,Sunday,10:00,21:00,14:00,10.0,
Jack,2024-02-02,Friday,11:00,21:00,16:00,9.0,62.0
Jack,2024-02-05,Monday,11:00,20:00,16:00,8.0,
Jack,2024-02-14,Wednesday,11:00,16:00,None,5.0,
Jack,2024-02-20,Tuesday,11:00,16:00,None,5.0,
Jack,2024-02-26,Monday,10:00,15:00,None,5.0,
Jack,2024-02-15,Thursday,08:00,19:00,11:00,10.0,
Jack,2024-02-21,Wednesday,08:00,19:00,11:00,10.0,
Jack,2024-02-27,Tuesday,09:00,20:00,11:00,10.0,
Kara,2024-02-05,Monday,13:00,18:00,None,5.0,62.0
Kara,2024-02-07,Wednesday,11:00,21:00,16:00,9.0,
Kara,2024-02-13,Tuesday,10:00,20:00,15:00,9.0,
Kara,2024-02-01,Thursday,10:00,20:00,15:00,9.0,
Kara,2024-02-19,Monday,11:00,21:00,None,10.0,
Kara,2024-02-14,Wednesday,08:00,19:00,11:00,10.0,
Kara,2024-02-28,Wednesday,08:00,19:00,11:00,10.0,
Liam,2024-02-03,Saturday,12:00,17:00,None,5.0,91.0
Liam,2024-02-06,Tuesday,09:00,19:00,13:00,9.0,
Liam,2024-02-14,Wednesday,09:00,19:00,13:00,9.0,
Liam,2024-02-16,Friday,13:00,18:00,None,5.0,
Liam,2024-02-20,Tuesday,13:00,18:00,None,5.0,
Liam,2024-02-28,Wednesday,09:00,19:00,13:00,9.0,
Liam,2024-02-15,Thursday,09:00,19:00,13:00,9.0,
Liam,2024-02-02,Friday,08:00,19:00,15:00,10.0,
Liam,2024-02-07,Wednesday,08:00,19:00,15:00,10.0,
Liam,2024-02-21,Wednesday,08:00,19:00,14:00,10.0,
Liam,2024-02-29,Thursday,08:00,19:00,14:00,10.0,
